haedat_row_id,copernicus_date,date_difference_hours,area_buffer_degrees,surface_depth_m,thetao_valid_cells,thetao_mean,thetao_p95,thetao_variance,so_valid_cells,so_mean,so_p95,so_variance
0,2026-05-04,0.0,1.0,0.49402499198913574,472,7.744199555809215,8.337504208087921,0.19026007401366912,472,32.79950616445187,34.77347633102909,1.3846019986775644
1,2026-04-20,0.0,1.0,0.49402499198913574,407,6.860889448507412,8.244337302446365,0.37880327653292994,407,32.92664854434898,34.92156739812344,1.1925234469566517
2,2026-04-20,0.0,1.0,0.49402499198913574,313,6.631021483494831,6.958311729133129,0.04335650266437206,313,32.03948663128094,34.590594163164496,4.0471145942368905
3,2026-04-20,0.0,1.0,0.49402499198913574,289,7.460264121269272,8.287258534133434,0.20231884087631077,289,33.963146280967806,34.70656449906528,0.2637082051190469
4,2026-04-06,0.0,1.0,0.49402499198913574,280,5.197024024065052,5.574724584817886,0.13018726228093677,280,30.093016029069467,32.52418588846922,6.617927031212054
5,2026-04-06,0.0,1.0,0.49402499198913574,114,5.041280314522354,5.477748969197273,0.23764053992310227,114,28.574948881654755,32.10608230903745,3.9746392078728565
6,2026-05-25,0.0,1.0,0.49402499198913574,313,11.995335356591228,12.90927458256483,0.3853024698098453,313,29.36571419206314,33.74950404278934,4.144920595438222
7,2026-04-20,0.0,1.0,0.49402499198913574,254,6.847822229165261,7.452601715549826,0.17601811002215054,254,28.593818797715244,32.254707450047135,10.08105696281383
8,2026-04-20,0.0,1.0,0.49402499198913574,258,6.879468934307265,7.604364159330726,0.192800894464288,258,28.403937523686434,32.42431406630203,11.459263417396272
9,2026-03-17,0.0,1.0,0.49402499198913574,290,4.734171590209007,6.728434108570219,1.421812844402891,290,31.571461165259624,35.145954738836735,5.824933018362341
10,2026-04-13,0.0,1.0,0.49402499198913574,313,5.9094281956648675,6.357267996668815,0.060354215361706584,313,32.07761526744539,34.6421704441309,2.662716897804296
11,2026-04-13,0.0,1.0,0.49402499198913574,326,5.716407607463789,6.085970655083656,0.07664775119689435,326,30.003972995192086,32.21076079644263,6.24823522363901
12,2026-04-27,0.0,1.0,0.49402499198913574,407,6.6975471874749335,6.975890390574932,0.021943263898662586,407,32.2881368404204,33.27387307304889,0.2561118923171206
14,2026-06-01,0.0,1.0,0.49402499198913574,544,9.985752803150236,10.718753633648157,0.11177603171114116,544,33.22113944493193,35.137409556191415,0.7601500471107157
15,2026-01-15,0.0,1.0,0.49402499198913574,391,28.42334097061697,28.76281013712287,0.08193547705106886,391,33.86891102823226,34.10748615860939,0.09661664816245415
16,2026-02-26,0.0,1.0,0.49402499198913574,379,28.989716140627074,29.391540261358024,0.10650584770354417,379,28.991271437718325,33.363139713183045,13.348871281712233
17,2026-01-15,0.0,1.0,0.49402499198913574,366,27.611726005668523,28.551499977707863,0.2832008939202081,366,32.22886761154247,32.48962367651984,0.017645100403488184
18,2026-01-15,0.0,1.0,0.49402499198913574,379,29.439228178230472,30.199865709990263,0.134354318473627,379,30.46370496860359,32.84768208861351,4.357606853625093
19,2026-01-29,0.0,1.0,0.49402499198913574,379,29.035736442398584,29.523014000058176,0.13745246632653954,379,31.794191194860396,33.521683369763196,4.244966334730617
20,2026-01-29,0.0,1.0,0.49402499198913574,366,27.45272357083979,28.204687636345625,0.18056672665543816,366,32.41683161153351,32.647175481542945,0.011201569282428778
21,2026-01-29,0.0,1.0,0.49402499198913574,391,27.88285894882496,28.38230536133051,0.15372924553962156,391,33.98309786556303,34.186071320436895,0.0445295218205486
22,2026-02-26,0.0,1.0,0.49402499198913574,391,28.00489239933927,28.339823596179485,0.047056930068776294,391,33.916351309670205,34.220404643565416,0.35378308419579474
23,2026-02-13,0.0,1.0,0.49402499198913574,391,28.082364767332518,28.5661488622427,0.15706887431029606,391,33.84450792854228,34.11206393502653,0.31378147468164175
24,2026-02-13,0.0,1.0,0.49402499198913574,366,27.61056129927518,28.258156064897776,0.1665830542826505,366,32.46151287734631,32.78603469952941,0.024349468569979327
25,2026-02-20,0.0,1.0,0.49402499198913574,391,27.902666788348153,28.18601030856371,0.06724279354323141,391,34.023201216340944,34.26160463131964,0.19780377856981096
26,2026-02-13,0.0,1.0,0.49402499198913574,379,28.875847153070733,29.535465551912786,0.17464871897810805,379,30.07082546063475,33.471480421721935,15.837278912500201
27,2026-02-20,0.0,1.0,0.49402499198913574,379,28.710428779487717,29.246076837927102,0.17431616994773194,379,30.062885816752086,33.67854850832373,12.570125659696435
28,2026-02-26,0.0,1.0,0.49402499198913574,366,27.89016487858579,28.862239440903068,0.7795803781818134,366,32.59343038519203,33.272804925218225,0.08912633724475269
29,2025-03-17,0.0,1.0,0.49402499198913574,416,20.85101274513783,22.910763876512647,1.0149741211944854,416,36.08746616127274,37.28560743620619,0.3388564667790644
